SlNo,District Name,Kharif_AreaBefore bund correction factor,Kharif_AreaAfter bund correction factor,Kharif_Yield,Kharif_Production,Rabi_AreaBefore bund correction factor,Rabi_AreaAfter bund correction factor,Rabi_Yield,Rabi_Production,Summer_AreaBefore bund correction factor,Summer_AreaAfter bund correction factor,Summer_Yield,Summer_Production,All Seasons_AreaBefore bund correction factor,All Seasons_AreaAfter bund correction factor,All Seasons_Yield,All Seasons_Production
1,BAGALKOTE,35,34,2774,95,0,0,0,0,3,3,3079,9,38,37,2798,104
2,BENGALURU - URBAN,202,198,2829,560,0,0,0,0,74,73,3079,223,276,270,2896,783
3,BENGALURU - RURAL,162,159,2249,357,0,0,0,0,31,30,3079,94,193,189,2382,451
4,BELAGAVI,57100,55958,3097,173302,0,0,0,0,173,170,3079,522,57273,56128,3097,173824
5,BALLARI,105169,103066,3904,402363,0,0,0,0,75422,73914,3553,262623,180591,176979,3757,664986
6,BIDAR,614,602,1675,1008,0,0,0,0,124,122,3079,374,738,723,1911,1382
7,VIJAYAPURA,128,125,3097,388,0,0,0,0,34,33,3079,103,162,159,3093,491
8,CHAMARAJANAGAR,8330,8163,2807,22913,826,809,2204,1784,1362,1335,2330,3110,10518,10308,2698,27806
9,CHICKBALLAPUR,3630,3557,2860,10175,0,0,0,0,3223,3159,2969,9377,6853,6716,2911,19552
10,CHIKMAGALUR,10739,10524,2515,26464,0,0,0,0,331,324,3168,1028,11070,10849,2534,27492
11,CHITRADURGA,1248,1223,1882,2302,0,0,0,0,335,328,1848,607,1583,1551,1875,2909
12,DAKSHINA KANNADA,6264,6139,2935,18016,1127,1104,2788,3079,7,7,3079,21,7398,7250,2913,21116
13,DAVANAGERE,67792,66436,3763,249969,0,0,0,0,55009,53909,3354,180829,122801,120345,3580,430798
14,DHARWAD,13049,12788,1265,16172,0,0,0,0,34,33,3079,103,13083,12821,1269,16275
15,GADAG,3545,3474,2249,7814,0,0,0,0,2705,2651,2220,5886,6250,6125,2237,13700
16,KALBURGI,8906,8728,4021,35098,0,0,0,0,4574,4483,3353,15030,13480,13210,3795,50128
17,HASSAN,35115,34413,2321,79877,0,0,0,0,255,250,2268,567,35370,34663,2321,80444
18,HAVERI,31710,31076,1672,51964,0,0,0,0,11546,11315,3079,34839,43256,42391,2048,86803
19,KODAGU,20205,19801,2645,52380,0,0,0,0,8,8,2047,16,20213,19809,2645,52396
20,KOLAR,3939,3860,2024,7812,0,0,0,0,1141,1118,3697,4134,5080,4978,2400,11946
21,KOPPAL,59129,57946,3350,194102,0,0,0,0,49229,48244,3288,158610,108358,106191,3321,352712
22,MANDYA,56889,55751,3015,168081,412,404,2463,994,17007,16667,3087,51449,74308,72822,3028,220524
23,MYSURU,81568,79937,3152,251926,0,0,0,0,13811,13535,2883,39027,95379,93471,3113,290953
24,RAICHUR,190638,186825,3120,582937,0,0,0,0,149924,146926,3175,466477,340562,333751,3144,1049414
25,RAMANAGARAM,3035,2974,2805,8344,0,0,0,0,142,139,2725,379,3177,3113,2802,8723
26,SHIVAMOGGA,75138,73635,2646,194838,0,0,0,0,11924,11686,2802,32744,87062,85321,2667,227582
27,TUMAKURU,3050,2989,2412,7209,0,0,0,0,275,270,2947,794,3325,3259,2456,8003
28,UDUPI,37742,36987,2987,110499,5798,5682,2671,15177,36,35,3079,109,43576,42704,2945,125784
29,UTTARA KANNADA,45408,44500,2186,97296,633,620,2375,1473,407,399,2549,1017,46448,45519,2192,99786
30,YADGIR,97648,95695,3618,346206,569,558,1748,975,49950,48951,1736,84989,148167,145204,2976,432170
NA,State Total,1028127,1007564,3097,3120466,9365,9178,2559,23483,449096,440114,3079,1355087,1486588,1456856,3088,4499036
